productid,merchandisegroup,merchandisesubgroup,isocountrycode,article,internationalarticlenumber,sectionname,familyname,categoryname,subcategoryname,merchandisefamily,weightproduct,scaleproduct,vatdescription,vatrate,agelimit,hwgdescription
5704400,Surtido seco,Art. Hogar / medias,ES,Ceras Roura Vela Stop moscas,5704400,DROGUERIA,INSECTICIDAS/ANTIMOSQUITOS HOGAR,VELA/PARCHE,VELA/PARCHE,Otros artÃ­culos domÃ©sticos,false,false,Ordinario,21.0,Keines,Surtido NF
5800690,Nevera,Queso (nev),ES,Montesdeoca Mini queso cabra semi,"","","","","",Queso tierno,false,true,Reducido,10.0,Keines,Fresco
1317,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Bimbo buenitos de chocolate,"","","","","","Pasteles, tartas, reposterÃ­a, otros",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
21746,Surtido seco,Licores,ES,Crema di Limoncino 17% vol.,21746,BEBIDAS,ALCOHOLICAS ALTA GRAD.,OTRAS ALC.ALTA GRA,OTRAS ALC.ALTA GRA,Licores,false,false,Ordinario,21.0,18,Bebidas
80536,Fruta y Verdura,Fruta,ES,Melon Cantaloup,80536,"","","","",Melones,true,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
82129,Fruta y Verdura,Verdura,ES,Lechuga romana,82129,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,VERDURAS/HORTALIZAS,"LECHUGA, ESCAROLA, COGOLLO, ENDIVIA",Lechuga,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
5705189,Surtido seco,Mopro,ES,Puleva Batido de chocolate,5705189,LECHES Y BATIDOS,BATIDOS,BATIDOS,BATIDOS,Yogures para beber / bebidas,false,false,Reducido,10.0,Keines,AlimentaciÃ³n
5708548,Surtido seco,Cervezas / Derivados,ES,"Budweiser Cerveza 4,8% vol. 10,43Âº",5708548,"","","","","Cerveza, combinados de cerveza",false,false,Ordinario,21.0,18,Bebidas
5800977,Surtido seco,BollerÃ­a / Chips,ES,Casa Ricardo Altramuces,5800977,"","","","","Frutos secos, fruta deshidratada",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5884,Surtido seco,BollerÃ­a / Chips,ES,PipÃ³n con sal,"","","","","","Frutos secos, fruta deshidratada",true,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
8478,Surtido seco,Bebidas sin alcohol,ES,SCHWEPPES SPIRIT NARANJA,"","","","","","Gaseosas, limonadas",false,false,Reducido,10.0,Keines,Bebidas
9951,Surtido seco,Golosinas,ES,Milka triple chocolate,"","","","","",Tabletas de chocolate (incl. mini),false,false,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
