productid,merchandisegroup,merchandisesubgroup,isocountrycode,article,internationalarticlenumber,sectionname,familyname,categoryname,subcategoryname,merchandisefamily,weightproduct,scaleproduct,vatdescription,vatrate,agelimit,hwgdescription
1039,Surtido seco,Golosinas,ES,Orbit chicles sabores mentolados,"",ALIMENTACION SECA,"CHICLES, CARAMELO, GOLOSI",CHICLES,CHICLES,Otros productos dulces,false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
3408,Surtido seco,Cosmetic,ES,Signal dentÃ­frico,"",PERFUMERIA E HIGIENE,HIGIENE BUCAL,DENTIFRICOS,DENTIFRICOS,"Higiene bucal, afeitado",false,true,Ordinario,21.0,Keines,Surtido NF
8060,Surtido seco,Art. Limpieza,ES,Krafft Lavaparabrisas,"",ARTICULOS  RESTO,ARTICULOS  RESTO,ARTICULOS  RESTO,ARTICULOS  RESTO,Productos de limpieza y lavavajillas,false,false,Ordinario,21.0,Keines,Surtido NF
8602,Surtido seco,Cervezas / Derivados,ES,Benediktiner Cerveza de trigo sin a,"","","","","","Cerveza, combinados de cerveza",false,false,Ordinario,21.0,18,Bebidas
5701449,Frischbrot / Hot Convenience,Bake off,ES,Mona de Pascua con frutas,5701449,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,Otros,false,false,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
4115,Surtido seco,Cosmetic,ES,Colgate DentÃ­frico Total,"","","","","","Higiene bucal, afeitado",false,false,Ordinario,21.0,Keines,Surtido NF
5528,Surtido seco,Cervezas / Derivados,ES,Voll Damm cerveza doble malta,5703535,BEBIDAS,CERVEZA,CERVEZA,CON ALCOHOL,"Cerveza, combinados de cerveza",false,false,Ordinario,21.0,18,Bebidas
8432,Frischbrot / Hot Convenience,Bake off,ES,Pan tradicional de Granada,5701166,"","","","","Baguette, panecillos, brezel",false,true,Superreducido,4.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
51816,Frischbrot / Hot Convenience,Bake off,ES,Panecillo de queso,51816,FRESCOS PERECEDEROS,PAN FRESCO,PAN FRESCO,PAN FRESCO,"Baguette, panecillos, brezel",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
76157,Frischbrot / Hot Convenience,Bake off,ES,Hojaldrada con queso,76157,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,"Pasteles, bollerÃ­a",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
81670,Fruta y Verdura,Fruta,ES,.,"","","","","",Bananas/PlÃ¡tanos,false,false,Cero,0.0,Keines,F&V/Plantas y Flores
5703068,Surtido seco,Art. Hogar / medias,ES,Cars PiÃ±ata,5703068,"","","","",Otros artÃ­culos domÃ©sticos,false,true,Ordinario,21.0,Keines,Surtido NF
5708542,Frischbrot / Hot Convenience,Bake off,ES,Floopy con topping chocolate blanco,5708542,"","","","","Pasteles, bollerÃ­a",false,false,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
2773,Surtido seco,Cosmetic,ES,BINACA BLANQUEANTE,"",PERFUMERIA E HIGIENE,HIGIENE BUCAL,DENTIFRICOS,DENTIFRICOS,"Higiene bucal, afeitado",false,true,Ordinario,21.0,Keines,Surtido NF
2916,Surtido seco,Bebidas sin alcohol,ES,PACK NATURIS AGUA MINERALIZACION DE,"","","","","",Agua,false,false,Reducido,10.0,Keines,Bebidas
3634,Surtido seco,Cons. Pescado,ES,REAL ENCEBOLLADO DE ATUN,"","","","","",Conservas de pescado,false,false,Reducido,10.0,Keines,Conservas
786,Fruta y Verdura,Verdura,ES,PATATAS 3 KG MAXI,"","","","","",Verduras (GrobegemÃ¼se),false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
6315,Surtido seco,Golosinas,ES,Bounty Mini,"",ALIMENTACION SECA,CHOCOLATES Y CREMAS,CHOCOLATINAS&SNACKS,CHOCOLATINAS&SNACKS,Barritas (incl. mini),false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
6559,Nevera,Mopro (nev),ES,Danone Actimel Fresa,"",DERIVADOS LACTEOS,YOGUR&LECHE FER,L. CASEI,L. CASEI,Yogures para beber / bebidas,false,false,Reducido,10.0,Keines,Fresco
7027,Surtido seco,Bebidas sin alcohol,ES,Aquarel Agua infantil Playmobil,"",BEBIDAS,AGUA,AGUA,AGUA,Agua,false,false,Reducido,10.0,Keines,Bebidas
9839,Surtido seco,Bebidas sin alcohol,ES,Monster Bebida energÃ©tica green,"",BEBIDAS,BEBIDAS REFRESCANTES,BEBIDA ENERGETICA,BEBIDA ENERGETICA,"Gaseosas, limonadas",false,false,Reducido,10.0,Keines,Bebidas
9881,Surtido seco,Cosmetic,ES,Tresemme ChampÃº+Acondicionador+Pint,"","","","","",Productos para el cuidado del cabello,false,true,Ordinario,21.0,Keines,Surtido NF
83533,Fruta y Verdura,Verdura,ES,EspÃ¡rrago verde puntas,83533,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,VERDURAS/HORTALIZAS,ESPARRAGO,Verduras (FeingemÃ¼se),false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
5601535,Nevera,Queso (nev),ES,Queso de Saboya,5601535,QUESOS,QUESO NATURAL,RTO. QSO NATURAL,RTO. QSO NATURAL,Queso de pasta dura y semidura (pieza),false,false,Superreducido,4.0,Keines,Fresco
5705904,Nevera,Mopro (nev),ES,Serafina Quesada pasiega,5705904,ALIMENTACION SECA,PASTEL.BOLLER.IND.,REST.PAST.BOLL.IND,REST.PAST.BOLL.IND,Postres y aperitivos,false,true,Reducido,10.0,Keines,Fresco
5706180,Surtido seco,Licores,ES,Crema de turrÃ³n,5706180,BEBIDAS,ALCOHOLICAS ALTA GRAD.,OTRAS ALC.ALTA GRA,OTRAS ALC.ALTA GRA,Licores,false,false,Ordinario,21.0,18,Bebidas
5708668,Surtido seco,Cosmetic,ES,Laiseven Gel Menorca,5708668,"","","","","Geles de ducha, productos de baÃ±o, jabones",false,false,Ordinario,21.0,Keines,Surtido NF
5800475,Nevera,Mopro (nev),ES,CelgÃ¡n yogur desnatado,5800475,"","","","",Yogur con fruta,false,false,Reducido,10.0,Keines,Fresco
5801034,Surtido seco,Licores,ES,Arehucas Ron blanco,5801034,"","","","",Bebidas espirituosas blancas,false,false,Cero,0.0,18,Bebidas
1300,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,ORTIZ PAN RUSTICO 6 CEREALES,"","","","","","Biscotes, pan crujiente, crackers",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
2507,Nevera,Queso (nev),ES,DON BERNARDO QUESO MANCHEGO PIEZA,"","","","","",Queso de pasta dura y semidura (lonchas),false,true,Superreducido,4.0,Keines,Fresco
7558,Surtido seco,CafÃ©/TÃ©/Cacao,ES,CafÃ© mezcla,"",ALIMENTACION SECA,CAFES/SUCEDANEOS,CAFE TOSTADO,CAFE MOLIDO,CafÃ© tostado,false,true,Cero,0.0,Keines,AlimentaciÃ³n
8851,Surtido seco,Delicatessen/Especias/Mostaza,ES,Ligeresa salsa vidrio,"",ALIMENTACION SECA,SALSAS,MAYONESA,MAYONESA,"Mayonesa, salsa tÃ¡rtara",false,false,Reducido,10.0,Keines,AlimentaciÃ³n
9747,Surtido seco,Golosinas,ES,NestlÃ© KitKat 5,"","","","","",Barritas (incl. mini),false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
36723,Surtido seco,Vinos / Cavas,ES,ValdepeÃ±as DO Reserva Jg. 2008,"","","","","",Vino tinto de Europa,false,false,Ordinario,21.0,18,Bebidas
117956,Surtido seco,CafÃ©/TÃ©/Cacao,ES,PG Tips Te negro 40,117956,ALIMENTACION SECA,INFUSIONES Y TE,TE,TE,TÃ©,false,false,Reducido,10.0,Keines,AlimentaciÃ³n
5701884,Carne,Carne Fresca,ES,Chistorra,5701884,FRESCOS PERECEDEROS,CARNE FRESCA,CERDO,CERDO,Cerdo,false,false,Reducido,10.0,Keines,Pollo/Carne/Pescado
5705347,Surtido seco,Alim. Infantil,ES,Hero Bolsita HB MediterrÃ¡neo,5705347,PRODUCTOS PARA BEBE,T.ALIMENTOS INFANTILS,TARRITOS/POUCH,TARRITOS/POUCH,Papillas de frutas,false,true,Reducido,10.0,Keines,Conservas
5707046,Surtido seco,Cervezas / Derivados,ES,Mahou Cerveza sin gluten,5707046,BEBIDAS,CERVEZA,CERVEZA,SIN ALCOHOL/BAJA A,"Cerveza, combinados de cerveza",false,false,Ordinario,21.0,18,Bebidas
2028,Surtido seco,Golosinas,ES,MILKA TENDRES MOMENTS CHOCO. BLANCO,"",ALIMENTACION SECA,CHOCOLATES Y CREMAS,TABLETAS CHOCOLATE,TABLETAS CHOCOLATE,Tabletas de chocolate (incl. mini),false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
3946,Surtido seco,Bebidas sin alcohol,ES,Fanta Naranja 2x2l,"",BEBIDAS,BEBIDAS REFRESCANTES,REFRESCO CON GAS,NARANJA CON GAS,"Gaseosas, limonadas",false,false,Reducido,10.0,Keines,Bebidas
8040,Surtido seco,Vinos / Cavas,ES,VINO TINTO SAINT EMILION GRAN CRU,"","","","","",Vino tinto de Europa,false,true,Ordinario,21.0,18,Bebidas
8419,Surtido seco,BollerÃ­a / Chips,ES,Snatt's Natuchips queso,5703530,ALIMENTACION SECA,PATATAS Y SNACKS,SNACKS,SNACKS,"Aperitivos salados, patatas fritas, productos extrusionados",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
9721,Fruta y Verdura,Fruta,ES,MelocotÃ³n de Calanda,"","","","","",Frutas de hueso,true,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
80624,Fruta y Verdura,Fruta,ES,.,"","","","","",Bananas/PlÃ¡tanos,false,false,Cero,0.0,Keines,F&V/Plantas y Flores
81507,Fruta y Verdura,Fruta,ES,PlÃ¡tano ecolÃ³gico,81507,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,FRUTAS,PLATANO,Bananas/PlÃ¡tanos,true,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
5705979,Congelado,Congelados,ES,Iberfresco GarrofÃ³n,5705979,CONGELADOS,VERDURAS/HORTALIZA CONG.,REST.VERD/HORT.CONG.,REST.VERD/HORT.CONG.,"Fruta, verdura",false,true,Superreducido,4.0,Keines,Congelados
5706396,Carne,Carne Fresca,ES,Solomillo finas hierbas,5706396,FRESCOS PERECEDEROS,CARNE FRESCA,CERDO,CERDO,Cerdo,true,false,Reducido,10.0,Keines,Pollo/Carne/Pescado
5708426,Surtido seco,Cervezas / Derivados,ES,Snow Paintbrush Cerveza 4% 9Âº,5708426,"","","","","Cerveza, combinados de cerveza",false,false,Ordinario,21.0,18,Bebidas
5416,Surtido seco,Conservas carne / Platos preparados,ES,GALLINA BLANCA SOPALISTA DE COCIDO,"","","","","",Platos preparados,false,true,Reducido,10.0,Keines,Conservas
5443,Fruta y Verdura,Fruta,ES,MANZANA AMBROSIA 1KG,"","","","","",Frutas de pepita,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
6430,Frischbrot / Hot Convenience,Bake off,ES,BOLLO SUIZO,"","","","","",Otros,false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
8480,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Bimbo Enrollados,"",ALIMENTACION SECA,PANADERIA INDUSTRIAL,PAN TOSTADO,"BISCOTES,PICATOSTES","Biscotes, pan crujiente, crackers",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5701874,Surtido seco,Embutidos,ES,EspuÃ±a Snack caÃ±itas mini surt.,5705697,FRESCOS PERECEDEROS,CHARCUTERIA,FIAMBRE Y EMBUTIDOS,FUET/LONGANIZA,Salami,false,false,Reducido,10.0,Keines,AlimentaciÃ³n
5704884,Surtido seco,Vinos / Cavas,ES,Murviedro Vino tinto DO Valencia,5704884,BEBIDAS,TOTAL VINOS,TINTO,MESA,Vino tinto de Europa,false,false,Ordinario,21.0,18,Bebidas
5707410,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Bicentury Tortita arroz choco leche,5707410,ALIMENTACION SECA,LINEAL DIETETICA,TORTITAS,TORTITAS,"Biscotes, pan crujiente, crackers",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5708013,Carne,Carne Fresca,ES,Osobuco de vacuno,5708013,"","","","",Carne de vacuno,true,false,Reducido,10.0,Keines,Pollo/Carne/Pescado
770,Fruta y Verdura,Verdura,ES,ALCACHOFAS,"","","","","",Verduras (FeingemÃ¼se),true,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
7181,Surtido seco,Alim. Infantil,ES,Hero tarrito merienda surt.,5703564,PRODUCTOS PARA BEBE,T.ALIMENTOS INFANTILS,TARRITOS/POUCH,TARRITOS/POUCH,Papillas de frutas,false,false,Reducido,10.0,Keines,Conservas
10182,Surtido seco,Delicatessen/Especias/Mostaza,ES,MOSTAZA DIJON,10182,"","","","","Mostaza, salsa de rÃ¡bano picante, vinagre, salsas para ensalada, salsas para carne, otras salsas, otros",false,false,Reducido,10.0,Keines,AlimentaciÃ³n
80385,Fruta y Verdura,Fruta,ES,Nectarina 500g,80385,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,FRUTAS,RESTO FRUTAS,Frutas de hueso,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
81674,Fruta y Verdura,Fruta,ES,Kiwi ecolÃ³gico,81674,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,FRUTAS,KIWI,Frutas exÃ³ticas,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
5800347,Surtido seco,Cosmetic,ES,Inecto LociÃ³n corporal de argÃ¡n,5800347,"","","","","Cremas, lociones, leche corporal, maquillaje",false,false,Ordinario,21.0,Keines,Surtido NF
5800644,Nevera,Mopro (nev),ES,Prolasa Yogur natural surt.,5800644,"","","","",Yogur con fruta,false,false,Cero,0.0,Keines,Fresco
573,Surtido seco,Conservas F&V,ES,Aceitunas verdes rellenas de anchoa,"","","","","",Conservas en vinagre,false,false,Reducido,10.0,Keines,Conservas
787,Fruta y Verdura,Verdura,ES,PATATA 3 KG,"","","","","",Patatas/cebollas,false,false,Superreducido,4.0,Keines,F&V/Plantas y Flores
1629,Carne,Ave Fresco,ES,Picada de pollo,5701099,FRESCOS PERECEDEROS,CARNE FRESCA,AVE,POLLO,Pollo,false,false,Reducido,10.0,Keines,Pollo/Carne/Pescado
3075,Surtido seco,Cosmetic,ES,SANEX GEL DERMOPROTECTOR,"","","","","","Geles de ducha, productos de baÃ±o, jabones",false,false,Ordinario,21.0,Keines,Surtido NF
3554,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Vol au vent mini 12 uds.,5703404,ALIMENTACION SECA,PANADERIA INDUSTRIAL,BOLLERIA SALADA,BOLLERIA SALADA,"Biscotes, pan crujiente, crackers",false,false,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
7448,Nevera,Mopro (nev),ES,Danone Actimel natural surt.,"",DERIVADOS LACTEOS,YOGUR&LECHE FER,L. CASEI,L. CASEI,Yogures para beber / bebidas,false,false,Reducido,10.0,Keines,Fresco
80738,Fruta y Verdura,Fruta,ES,Aguacate mini,80738,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,FRUTAS,AGUACATE,Frutas exÃ³ticas,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
5708706,Surtido seco,Cosmetic,ES,Original Remedis mascarilla Delicat,5708706,"","","","",Productos para el cuidado del cabello,false,false,Ordinario,21.0,Keines,Surtido NF
5800214,Carne,Carne Fresca,ES,Tacos de cerdo en adobo,"","","","","",Cerdo,true,false,Reducido,10.0,Keines,Pollo/Carne/Pescado
5800270,Surtido seco,Vinos / Cavas,ES,El RatiÃ±o vino blanco seco,5800270,"","","","",Vino blanco de Europa,false,false,Ordinario,21.0,18,Bebidas
6405658,Congelado,Congelados,ES,Piernas de ganso,"","","","","",Ave,false,true,Reducido,10.0,Keines,Congelados
7208,Surtido seco,Cosmetic,ES,Axe 2 Deospray + Boxer gratis,"","","","","","Desodorante, colonia, perfume, lociÃ³n de afeitado",false,true,Ordinario,21.0,Keines,Surtido NF
9064,Carne,Carne Fresca,ES,Cabeza de lomo trozo,5701295,FRESCOS PERECEDEROS,CARNE FRESCA,CERDO,CERDO,Cerdo,true,false,Reducido,10.0,Keines,Pollo/Carne/Pescado
9362,Nevera,Embutidos (Nevera),ES,EL POZO JAMON COCIDO 1A LONCHAS,"","","","","",JamÃ³n cocido (lonchas),false,false,Reducido,10.0,Keines,Fresco
83373,Fruta y Verdura,Verdura,ES,Cebolla dulce,83373,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,VERDURAS/HORTALIZAS,CEBOLLA,Patatas/cebollas,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
5701852,Nevera,Queso (nev),ES,La Pasiega P. Pelada queso ahumado,5701852,QUESOS,QUESO NATURAL,RTO. QSO NATURAL,RTO. QSO NATURAL,Queso tierno,false,false,Superreducido,4.0,Keines,Fresco
5704281,Nevera,Mopro (nev),ES,Danone Oikos yogur griego surt.,5704281,DERIVADOS LACTEOS,YOGUR&LECHE FER,YOGUR CREMOSO/GRIEGO,YOGUR CREMOSO/GRIEGO,Yogur con fruta,false,true,Reducido,10.0,Keines,Fresco
5704688,Carne,Pescado Fresco,ES,Filete de merluza rebozado MSC,5704688,FRESCOS PERECEDEROS,PESCADOS Y MARISCOS,PESCADO FRESCO,MERLUZA,Pescado fresco,false,false,Reducido,10.0,Keines,Pollo/Carne/Pescado
424,Surtido seco,Cosmetic,ES,AXE Desodorante surt.,"",PERFUMERIA E HIGIENE,PROD.CORPORALES PERSO.,DESODORANTES,DESODORANTES,"Desodorante, colonia, perfume, lociÃ³n de afeitado",false,false,Ordinario,21.0,Keines,Surtido NF
745,Fruta y Verdura,Verdura,ES,Hierbas Frescas,"","","","","",Hierbas aromÃ¡ticas,false,false,Reducido,10.0,Keines,F&V/Plantas y Flores
3808,Surtido seco,Cosmetic,ES,Veet Bandas de cera frÃ­a bikini,"",PERFUMERIA E HIGIENE,PROD.CORPORALES PERSO.,DEPILATORIOS,DEPILATORIOS,"Higiene bucal, afeitado",false,true,Ordinario,21.0,Keines,Surtido NF
5562,Surtido seco,Papel / Folios / Higiene,ES,O.B. TAMPONES SURT.,"","","","","",Productos de higiene para adultos y niÃ±os,false,true,Reducido,10.0,Keines,Surtido NF
6344,Surtido seco,Golosinas,ES,Orbit Tab White menta suave,"","","","","",Otros productos dulces,false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
9771,Surtido seco,Art. Limpieza,ES,Bref Desinfectante WC colgador,"","","","","",Productos de limpieza y lavavajillas,false,true,Ordinario,21.0,Keines,Surtido NF
80580,Fruta y Verdura,Fruta,ES,MelÃ³n Piel de Sapo,80580,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,FRUTAS,MELON,Melones,true,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
82403,Fruta y Verdura,Verdura,ES,Tomate Cherry,82403,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,VERDURAS/HORTALIZAS,TOMATE,Tomates,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
5705755,Surtido seco,Art. Hogar / medias,ES,Tigex Chupetes fisio. silicona surt,5705754,PRODUCTOS PARA BEBE,PUERICULTURA LIGERA,OTROS,OTROS,Otros artÃ­culos domÃ©sticos,false,false,Ordinario,21.0,Keines,Surtido NF
5706022,Frischbrot / Hot Convenience,Bake off,ES,Surtido de mini saladitos,5706022,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,Otros,false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
1767,Surtido seco,Art. Hogar / medias,ES,CUCHARA GRANDE,"",ARTICULOS  RESTO,ARTICULOS  RESTO,ARTICULOS  RESTO,ARTICULOS  RESTO,Otros artÃ­culos domÃ©sticos,false,true,Ordinario,21.0,Keines,Surtido NF
8738,Surtido seco,Golosinas,ES,NestlÃ© Barquillos surt.,"",ALIMENTACION SECA,CHOCOLATES Y CREMAS,CHOCOLATINAS&SNACKS,CHOCOLATINAS&SNACKS,Barritas (incl. mini),false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5707625,Frischbrot / Hot Convenience,Bake off,ES,Pan de coca,5707625,FRESCOS PERECEDEROS,PAN FRESCO,PAN FRESCO,PAN FRESCO,Hogazas de pan,false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5707944,Surtido seco,Cosmetic,ES,Star Wars Obi Wan Cepillo con luz m,5707944,PERFUMERIA E HIGIENE,HIGIENE BUCAL,CEPILLOS DENTALES,ELECTRICO,"Higiene bucal, afeitado",false,false,Ordinario,21.0,Keines,Surtido NF
5708026,Surtido seco,Bebidas sin alcohol,ES,Green cola,5708026,BEBIDAS,BEBIDAS REFRESCANTES,REFRESCO CON GAS,COLAS,"Gaseosas, limonadas",false,false,Reducido,10.0,Keines,Bebidas
7701090,Nevera,Delicatesen (nev),ES,BÃ¼rger Pasta rellena de carne,7701090,PLATOS COCINADOS,RESTO PLATOS COCIN,RESTO PLATOS COCIN,RESTO PLATOS COCIN,"Productos a base de patata, masas preparadas",false,true,Reducido,10.0,Keines,Fresco
630,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,BIMBO SOBAO SURT.,"","","","","","Croissants, bollos, magdalenas",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
2580,Surtido seco,Bebidas sin alcohol,ES,ZUMO DE NARANJA,"","","","","",Zumos,false,true,Reducido,10.0,Keines,Bebidas
9887,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Bimbo CanapÃ©s surt.,"","","","","","Biscotes, pan crujiente, crackers",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
39594,Surtido seco,Golosinas,ES,.,"","","","","","Golosinas, regaliz",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
80397,Fruta y Verdura,Fruta,ES,Paraguayo 250g,80397,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,FRUTAS,RESTO FRUTAS,Frutas de hueso,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
5704304,Surtido seco,Cosmetic,ES,Sanasse ColoraciÃ³n perm nÂº10.0,5704304,PERFUMERIA E HIGIENE,PRODUCTOS CAPILARES,COLORACION,COLORACION,Productos para el cuidado del cabello,false,true,Ordinario,21.0,Keines,Surtido NF
5800491,Surtido seco,Mopro,ES,CelgÃ¡n Yogur beber coco pera papaya,"","","","","",Yogures para beber / bebidas,false,false,Reducido,10.0,Keines,AlimentaciÃ³n
701,Fruta y Verdura,Fruta,ES,NARANJA DE ZUMO,"","","","","",CÃ­tricos,false,false,Superreducido,4.0,Keines,F&V/Plantas y Flores
2322,Surtido seco,Cosmetic,ES,DOVE PASTILLA DE JABÃ“N,"","","","","","Geles de ducha, productos de baÃ±o, jabones",false,true,Ordinario,21.0,Keines,Surtido NF
2371,Surtido seco,BollerÃ­a / Chips,ES,LAY'S LOTE 2 SAL +1 RUFFLES SAL GRA,"",ALIMENTACION SECA,PATATAS Y SNACKS,PATATAS FRITAS,PATATAS FRITAS,"Aperitivos salados, patatas fritas, productos extrusionados",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
4205,Surtido seco,Art. Limpieza,ES,Test Kit PH-Cloro,5703531,"","","","",Productos de limpieza y lavavajillas,false,true,Ordinario,21.0,Keines,Surtido NF
5003,Surtido seco,Golosinas,ES,WRIGLEY'S 5 CHICLES SABORES,"",ALIMENTACION SECA,"CHICLES, CARAMELO, GOLOSI",CHICLES,CHICLES,Otros productos dulces,false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
7184,Fruta y Verdura,Fruta,ES,Frambuesas,"","","","","",Bayas,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
8793,Surtido seco,Papel / Folios / Higiene,ES,PaÃ±uelos decorados Peppa Pig,"","","","","","Papel higiÃ©nico, algodÃ³n",false,true,Ordinario,21.0,Keines,Surtido NF
53741,Surtido seco,Alim.BÃ¡sica/Desayuno/Bio,ES,AzÃºcar para cafÃ©,53741,"","","","","AlimentaciÃ³n bÃ¡sica (azÃºcar, sal, harina)",false,true,Reducido,10.0,Keines,AlimentaciÃ³n
80880,Fruta y Verdura,Fruta,ES,DÃ¡til en rama 200 g,80880,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,FRUTAS,RESTO FRUTAS,Frutos secos/fruta deshidratada,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
5708115,Surtido seco,Art. Limpieza,ES,Compo Huerto urbano,5708115,"","","","","Abonos, plaguicidas, otros",false,true,Ordinario,21.0,Keines,Surtido NF
4585,Surtido seco,Cosmetic,ES,BINACA DUPLO AMARILLO+COLUTORIO GRA,"","","","","","Higiene bucal, afeitado",false,true,Ordinario,21.0,Keines,Surtido NF
5407,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,SILUETA PAN INTEGRAL SILUETA NATURA,"","","","","","Pan de molde, pan, panecillos, baguettes",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5481,Nevera,Mopro (nev),ES,Danone Vitalinea Crema de chocolate,"","","","","",Postres y aperitivos,false,true,Reducido,10.0,Keines,Fresco
9084,Surtido seco,Golosinas,ES,NestlÃ© Caja Roja Sublime BombÃ³n Lec,"","","","","",Bombones,false,false,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
82950,Fruta y Verdura,Verdura,ES,Col picuda,82950,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,VERDURAS/HORTALIZAS,COL,Variedades de col,true,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
4775,Surtido seco,CafÃ©/TÃ©/Cacao,ES,La Estrella cafÃ© mezcla,"",ALIMENTACION SECA,CAFES/SUCEDANEOS,CAFE TOSTADO,CAFE MOLIDO,CafÃ© tostado,false,true,Reducido,10.0,Keines,AlimentaciÃ³n
9254,Surtido seco,Cosmetic,ES,Pantene Mascarilla surt.,"","","","","",Productos para el cuidado del cabello,false,false,Ordinario,21.0,Keines,Surtido NF
5702027,Surtido seco,CafÃ©/TÃ©/Cacao,ES,CafÃ© soluble aglomerado natural,5702027,ALIMENTACION SECA,CAFES/SUCEDANEOS,CAFE SOLUBLE,PURO,"CafÃ© soluble, sucedÃ¡neos de cafÃ©, cappuccino",false,false,Reducido,10.0,Keines,AlimentaciÃ³n
5704299,Surtido seco,Cosmetic,ES,Sanase Color nÂº7.77 rubio almend,5704299,PERFUMERIA E HIGIENE,PRODUCTOS CAPILARES,COLORACION,COLORACION,Productos para el cuidado del cabello,false,true,Ordinario,21.0,Keines,Surtido NF
5704816,Surtido seco,Vinos / Cavas,ES,Venta Morales vino blanco ecolÃ³gico,5704816,BEBIDAS,TOTAL VINOS,BLANCO,MESA,Vino blanco de Europa,false,false,Ordinario,21.0,18,Bebidas
